mitigation,thresh_type,cache_only,tRH,flat_thresh,dynamic_thresh,trace,ipc_0,ipc_1,ipc_2,VRR,RFM,RRS_reswap,RRS_unswap,RRS_swap,AQUA_migrate,AQUA_r_migrate,total_energy,insn_0,insn_1,insn_2
AQUA,NONE,False,128,0,0.0,Mix41,1.2288028409331573,0.3021511658294249,0.015762712,0,0,0,0,0,145087,127579,236767158.85825002,100000001,100000000,47288136
AQUA,NONE,False,64,0,0.0,Mix41,0.9797783835377324,0.16068273760990354,0.007496490666666667,0,0,0,0,0,160234,137153,275001001.80525005,100000001,100000000,22489472
Graphene,NONE,False,4096,0,0.0,Mix41,3.5876605931041503,1.840532407128345,0.11491770184952822,13104,0,0,0,0,0,0,68143040.6076875,100000001,100000000,100000001
Graphene,NONE,False,2048,0,0.0,Mix41,3.585891146474293,1.8374421878674023,0.11532315324599629,26424,0,0,0,0,0,0,67894446.309875,100000001,100000000,100000002
Graphene,NONE,False,1024,0,0.0,Mix41,3.5656892482596496,1.839069061769677,0.11427851167042878,53082,0,0,0,0,0,0,68348263.3193125,100000001,100000000,100000002
Graphene,NONE,False,512,0,0.0,Mix41,3.5418291613596784,1.805785918661985,0.11265527978491872,110941,0,0,0,0,0,0,68997604.8803125,100000001,100000000,100000000
Graphene,NONE,False,256,0,0.0,Mix41,3.5128978326017783,1.768567236814425,0.11000360932838958,234874,0,0,0,0,0,0,69958767.38156252,100000001,100000000,100000001
Graphene,NONE,False,128,0,0.0,Mix41,3.430144036891885,1.7013902842652262,0.10624547169851534,480907,0,0,0,0,0,0,71089303.041125,100000001,100000000,100000001
Graphene,NONE,False,64,0,0.0,Mix41,3.3288091821072645,1.577866023616836,0.09756763526711204,951169,0,0,0,0,0,0,74957635.5933125,100000001,100000000,100000001
Hydra,NONE,False,4096,0,0.0,Mix41,3.567141667246327,1.8358328503563077,0.11527240351111938,13312,0,0,0,0,0,0,68006115.0913125,100000001,100000000,100000003
Hydra,NONE,False,2048,0,0.0,Mix41,3.6004403122431423,1.8364018291810973,0.11501047089234151,26589,0,0,0,0,0,0,68062496.7775625,100000001,100000000,100000002
Hydra,NONE,False,1024,0,0.0,Mix41,3.5983843614217217,1.833344174508552,0.11541303704265449,52900,0,0,0,0,0,0,67644771.907625,100000001,100000000,100000003
Hydra,NONE,False,512,0,0.0,Mix41,3.5768584059480295,1.8034501552436946,0.1140522016921925,110315,0,0,0,0,0,0,67994799.43731251,100000001,100000000,100000001
Hydra,NONE,False,256,0,0.0,Mix41,3.549562667262047,1.771448526037025,0.11214232039768716,227745,0,0,0,0,0,0,68116501.45237501,100000001,100000000,100000003
Hydra,NONE,False,128,0,0.0,Mix41,3.523932168394198,1.7665495573857088,0.11267465433207924,429437,0,0,0,0,0,0,65852883.1475,100000001,100000000,100000001
Hydra,NONE,False,64,0,0.0,Mix41,3.470622998686959,1.6988971235565067,0.1088195945208708,790998,0,0,0,0,0,0,65614514.340437494,100000001,100000000,100000001
PARA,NONE,False,4096,0,0.0,Mix41,3.660398648888306,2.0130645878688096,0.1317225583368415,227201,0,0,0,0,0,0,58025478.9064375,100000001,100000000,100000001
PARA,NONE,False,2048,0,0.0,Mix41,3.637928246449846,2.060720107101394,0.12881369588201508,425990,0,0,0,0,0,0,57764137.81562501,100000001,100000000,100000002
PARA,NONE,False,1024,0,0.0,Mix41,3.6256893795075023,2.0399079430343465,0.11923983087079794,797073,0,0,0,0,0,0,59895112.95237502,100000001,100000000,100000001
PARA,NONE,False,512,0,0.0,Mix41,3.6086673476703037,1.9184708958180903,0.09771584860108015,1548736,0,0,0,0,0,0,69107185.71175,100000001,100000000,100000002
PARA,NONE,False,256,0,0.0,Mix41,3.4699016397401725,1.5994886754602289,0.07276938597143975,3040125,0,0,0,0,0,0,87389460.82575002,100000001,100000000,100000001
PARA,NONE,False,128,0,0.0,Mix41,3.198526458066663,1.1199656340785114,0.04437901206849866,6556681,0,0,0,0,0,0,135162620.29474998,100000001,100000000,100000000
PARA,NONE,False,64,0,0.0,Mix41,2.654115135141835,0.6764290302262245,0.026506366333333333,10474588,0,0,0,0,0,0,171965414.9833125,100000001,100000000,79519099
REGA,NONE,False,4096,0,0.0,Mix41,3.5853357403365074,1.8594575843221246,0.11689295767605992,0,0,0,0,0,0,0,67157811.90900001,100000001,100000000,100000001
REGA,NONE,False,2048,0,0.0,Mix41,3.5853357403365074,1.8594575843221246,0.11689295767605992,0,0,0,0,0,0,0,67157811.90900001,100000001,100000000,100000001
REGA,NONE,False,1024,0,0.0,Mix41,3.5853357403365074,1.8594575843221246,0.11689295767605992,0,0,0,0,0,0,0,67157811.90900001,100000001,100000000,100000001
REGA,NONE,False,512,0,0.0,Mix41,3.5853357403365074,1.8594575843221246,0.11689295767605992,0,0,0,0,0,0,0,67157811.90900001,100000001,100000000,100000001
REGA,NONE,False,256,0,0.0,Mix41,3.702824662737476,2.313856224887574,0.1434880534547853,0,0,0,0,0,0,0,53223999.46043751,100000001,100000000,100000003
REGA,NONE,False,128,0,0.0,Mix41,3.77118291334361,2.4531278410286808,0.11215550061964903,0,0,0,0,0,0,0,63614046.40100001,100000001,100000000,100000002
REGA,NONE,False,64,0,0.0,Mix41,3.4814478519849925,1.867621006059795,0.0684625695904976,0,0,0,0,0,0,0,97375062.9425625,100000001,100000000,100000002
RFM,NONE,False,4096,0,0.0,Mix41,3.530372144290827,1.7629394377767529,0.10707966446193423,0,58637,0,0,0,0,0,71866882.3375,100000001,100000000,100000001
RFM,NONE,False,2048,0,0.0,Mix41,3.530372144290827,1.7629394377767529,0.10707966446193423,0,58637,0,0,0,0,0,71866882.3375,100000001,100000000,100000001
RFM,NONE,False,1024,0,0.0,Mix41,3.530372144290827,1.7629394377767529,0.10707966446193423,0,58637,0,0,0,0,0,71866882.3375,100000001,100000000,100000001
RFM,NONE,False,512,0,0.0,Mix41,3.5439170524958654,1.7298851762765968,0.10403137042609431,0,78995,0,0,0,0,0,73526050.97618751,100000001,100000000,100000002
RFM,NONE,False,256,0,0.0,Mix41,3.489114538452781,1.6262894238983556,0.09259947614606359,0,181977,0,0,0,0,0,80315185.03731251,100000001,100000000,100000001
