,mitigation,thresh_type,cache_only,tRH,flat_thresh,dynamic_thresh,trace,ipc_0,ipc_1,ipc_2,VRR,RFM,RRS_reswap,RRS_unswap,RRS_swap,AQUA_migrate,AQUA_r_migrate,total_energy,insn_0,insn_1,insn_2,aipc_0,aipc_1,aipc_2,aipc_3,soa_0,aos_0,soa_1,aos_1,soa_2,aos_2,weighted_speedup,harmonic_speedup,max_slowdown,min_insn,weighted_speedup_base,harmonic_speedup_base,max_slowdown_base,total_energy_base,norm_weighted_speedup,norm_harmonic_speedup,norm_max_slowdown,norm_energy
3957,RFM,MEAN,False,4096,32,0.65,Mix2,0.4246678134764347,0.2341777808922381,0.1935837487279224,0,37795,0,0,0,0,0,35754825.4150625,100000000,100000002,100000000,1.2200293685469596,0.4412305018586614,0.4063887348912643,0.9999823903101066,0.348079992518712,2.87290284271723,0.5307379700763567,1.884168942832809,0.4763511684931886,2.0992915860020593,1.3551691310882572,0.4375497384586371,0.651920007481288,100000000,0.8370261136464852,0.2755013471961007,0.7600127980307176,64740636.24262501,1.619028497431811,1.5881945511765176,0.8577750390131446,0.5522779430382189
3958,RFM,MEAN,False,2048,32,0.65,Mix2,0.4246678134764347,0.2341777808922381,0.1935837487279224,0,37795,0,0,0,0,0,35754825.4150625,100000000,100000002,100000000,1.2200293685469596,0.4412305018586614,0.4063887348912643,0.9999823903101066,0.348079992518712,2.87290284271723,0.5307379700763567,1.884168942832809,0.4763511684931886,2.0992915860020593,1.3551691310882572,0.4375497384586371,0.651920007481288,100000000,0.8370261136464852,0.2755013471961007,0.7600127980307176,64740636.24262501,1.619028497431811,1.5881945511765176,0.8577750390131446,0.5522779430382189
3959,RFM,MEAN,False,1024,32,0.65,Mix2,0.4246678134764347,0.2341777808922381,0.1935837487279224,0,37795,0,0,0,0,0,35754825.4150625,100000000,100000002,100000000,1.2200293685469596,0.4412305018586614,0.4063887348912643,0.9999823903101066,0.348079992518712,2.87290284271723,0.5307379700763567,1.884168942832809,0.4763511684931886,2.0992915860020593,1.3551691310882572,0.4375497384586371,0.651920007481288,100000000,0.8370261136464852,0.2755013471961007,0.7600127980307176,64740636.24262501,1.619028497431811,1.5881945511765176,0.8577750390131446,0.5522779430382189
3960,RFM,MEAN,False,512,32,0.65,Mix2,0.4208631722692077,0.2292575742203342,0.191153205331847,0,53658,0,0,0,0,0,36187927.8191875,100000000,100000000,100000001,1.2200293685469596,0.4412305018586614,0.4063887348912643,0.9999823903101066,0.3449615092220696,2.898874144698411,0.5195868673054064,1.924605995501832,0.470370334903582,2.125984412271627,1.334918711431058,0.4316879347104409,0.6550384907779304,100000000,0.8370261136464852,0.2755013471961007,0.7600127980307176,64740636.24262501,1.594835202471181,1.5669176906171978,0.8618782374128594,0.5589677506963006
3961,RFM,MEAN,False,256,32,0.65,Mix2,0.3974056342835546,0.2087526696074212,0.1756359884459622,0,146017,0,0,0,0,0,39416740.61312501,100000000,100000000,100000001,1.2200293685469596,0.4412305018586614,0.4063887348912643,0.9999823903101066,0.3257344819140378,3.0699850814808816,0.4731147749941607,2.1136520202996034,0.43218714832968086,2.3138124395063695,1.2310364052378793,0.400136070737074,0.6742655180859622,100000000,0.8370261136464852,0.2755013471961007,0.7600127980307176,64740636.24262501,1.4707264028775604,1.4523924286012977,0.8871765315440258,0.6088407976931985
3962,RFM,MEAN,False,128,32,0.65,Mix2,0.3522170873393169,0.1780848676401317,0.1535511164787668,0,336394,0,0,0,0,0,45413142.0641875,100000000,100000000,100000000,1.2200293685469596,0.4412305018586614,0.4063887348912643,0.9999823903101066,0.2886955809586807,3.4638562761482796,0.40360960289453723,2.4776417429822626,0.3778429451787137,2.6466022794921207,1.0701481290319317,0.3493205593419923,0.7113044190413194,100000000,0.8370261136464852,0.2755013471961007,0.7600127980307176,64740636.24262501,1.2785122370553719,1.267945013326368,0.9359111068713482,0.7014627087382197
3963,RFM,MEAN,False,64,32,0.65,Mix2,0.2715486626608532,0.1396791057759292,0.1227405393949798,0,781982,0,0,0,0,0,59197865.1415,100000000,100000000,100000001,1.2200293685469596,0.4412305018586614,0.4063887348912643,0.9999823903101066,0.2225755130667587,4.492857216058905,0.316567202828313,3.1588869316394086,0.30202741576441816,3.310957707163914,0.8411701316594898,0.2736551663739196,0.7774244869332413,100000000,0.8370261136464852,0.2755013471961007,0.7600127980307176,64740636.24262501,1.0049508825894946,0.9932988319622736,1.0229097311882633,0.9143849763794001
3964,TWiCe-Ideal,MEAN,False,4096,32,0.65,Mix2,0.4278860693949649,0.2441834840898966,0.1996819840759768,1872,0,0,0,0,0,0,34728273.350875,100000000,100000000,100000000,1.2200293685469596,0.4412305018586614,0.4063887348912643,0.9999823903101066,0.3507178437061495,2.851294902570895,0.5534147867413651,1.8069629217683765,0.49135708481044593,2.0351797723355847,1.3954897152579604,0.44820018961412744,0.6492821562938504,100000000,0.8370261136464852,0.2755013471961007,0.7600127980307176,64740636.24262501,1.667199735476043,1.6268529870204245,0.8543042406341271,0.5364215640502158
3965,TWiCe-Ideal,MEAN,False,2048,32,0.65,Mix2,0.4311728539331633,0.24444930681267,0.2001602506970285,3744,0,0,0,0,0,0,34610863.544125006,100000000,100000002,100000001,1.2200293685469596,0.4412305018586614,0.4063887348912643,0.9999823903101066,0.35341186454116674,2.8295597865631823,0.554017244462791,1.804997967111405,0.4925339545905093,2.030316875983496,1.399963063594467,0.45012099502221303,0.6465881354588332,100000000,0.8370261136464852,0.2755013471961007,0.7600127980307176,64740636.24262501,1.6725440709317418,1.6338250233739104,0.850759536068628,0.5346080229180283
3966,TWiCe-Ideal,MEAN,False,1024,32,0.65,Mix2,0.4316067225785553,0.2443760942443426,0.2001534628639678,7416,0,0,0,0,0,0,34583979.468062505,100000000,100000002,100000000,1.2200293685469596,0.4412305018586614,0.4063887348912643,0.9999823903101066,0.35376748601764707,2.8267153978930577,0.5538513162959507,1.8055387259667528,0.4925172517823901,2.030385730410581,1.400136054095988,0.45027197411505926,0.6462325139823529,100000000,0.8370261136464852,0.2755013471961007,0.7600127980307176,64740636.24262501,1.6727507436970241,1.6343730391799411,0.8502916209527224,0.5341927647799749
