mitigation,thresh_type,cache_only,tRH,flat_thresh,dynamic_thresh,trace,core_id,pN_key,pN_val
Dummy,NONE,False,0,0,0.0,519.lbm,0,43,149
Dummy,NONE,False,0,0,0.0,519.lbm,0,44,159
Dummy,NONE,False,0,0,0.0,519.lbm,0,45,174
Dummy,NONE,False,0,0,0.0,519.lbm,0,46,189
Dummy,NONE,False,0,0,0.0,519.lbm,0,47,199
Dummy,NONE,False,0,0,0.0,519.lbm,0,48,204
Dummy,NONE,False,0,0,0.0,519.lbm,0,49,209
Dummy,NONE,False,0,0,0.0,519.lbm,0,50,214
Dummy,NONE,False,0,0,0.0,519.lbm,0,51,224
Dummy,NONE,False,0,0,0.0,519.lbm,0,52,234
Dummy,NONE,False,0,0,0.0,519.lbm,0,53,244
Dummy,NONE,False,0,0,0.0,519.lbm,0,54,254
Dummy,NONE,False,0,0,0.0,519.lbm,0,55,264
Dummy,NONE,False,0,0,0.0,519.lbm,0,56,264
Dummy,NONE,False,0,0,0.0,519.lbm,0,57,264
Dummy,NONE,False,0,0,0.0,519.lbm,0,58,264
Dummy,NONE,False,0,0,0.0,519.lbm,0,59,264
Dummy,NONE,False,0,0,0.0,519.lbm,0,60,269
Dummy,NONE,False,0,0,0.0,519.lbm,0,61,269
Dummy,NONE,False,0,0,0.0,519.lbm,0,62,274
Dummy,NONE,False,0,0,0.0,519.lbm,0,63,279
Dummy,NONE,False,0,0,0.0,519.lbm,0,64,279
Dummy,NONE,False,0,0,0.0,519.lbm,0,65,284
Dummy,NONE,False,0,0,0.0,519.lbm,0,66,289
Dummy,NONE,False,0,0,0.0,519.lbm,0,67,294
Dummy,NONE,False,0,0,0.0,519.lbm,0,68,299
Dummy,NONE,False,0,0,0.0,519.lbm,0,69,304
Dummy,NONE,False,0,0,0.0,519.lbm,0,70,314
Dummy,NONE,False,0,0,0.0,519.lbm,0,71,324
Dummy,NONE,False,0,0,0.0,519.lbm,0,72,334
Dummy,NONE,False,0,0,0.0,519.lbm,0,73,339
Dummy,NONE,False,0,0,0.0,519.lbm,0,74,349
Dummy,NONE,False,0,0,0.0,519.lbm,0,75,354
Dummy,NONE,False,0,0,0.0,519.lbm,0,76,364
Dummy,NONE,False,0,0,0.0,519.lbm,0,77,374
Dummy,NONE,False,0,0,0.0,519.lbm,0,78,384
Dummy,NONE,False,0,0,0.0,519.lbm,0,79,389
Dummy,NONE,False,0,0,0.0,519.lbm,0,80,404
Dummy,NONE,False,0,0,0.0,519.lbm,0,81,414
