mitigation,thresh_type,cache_only,tRH,flat_thresh,dynamic_thresh,trace,ipc_0,ipc_1,ipc_2,ipc_3,VRR,RFM,RRS_reswap,RRS_unswap,RRS_swap,AQUA_migrate,AQUA_r_migrate,total_energy,insn_0,insn_1,insn_2,insn_3
BlockHammer,NONE,False,64,0,0.0,Mix8,0.0005085,0.0007628,0.0006492,0.0220899,0,0,0,0,0,0,0,436908.803375,5085,7628,6492,220899
Graphene,MEAN,False,512,32,0.65,Mix0,0.2211497,0.2209556,0.2212689,0.2215341,0,0,0,0,0,0,0,797542.7136875001,2211497,2209556,2212689,2215341
Graphene,MEAN,False,64,32,0.65,Mix0,0.201546,0.2008987,0.2006028,0.2015795,7337,0,0,0,0,0,0,766665.2599375001,2015460,2008987,2006028,2015795
Hydra,MEAN,False,512,32,0.65,Mix0,0.2214753,0.2213298,0.2211069,0.2211575,0,0,0,0,0,0,0,797882.2424375,2214753,2213298,2211069,2211575
Hydra,MEAN,False,64,32,0.65,Mix0,0.1599794,0.1599949,0.1602227,0.1601941,5802,0,0,0,0,0,0,714404.1121250001,1599794,1599949,1602227,1601941
Dummy,NONE,False,0,0,0.0,Mix0,0.2211497,0.2209556,0.2212689,0.2215341,0,0,0,0,0,0,0,797542.7136875001,2211497,2209556,2212689,2215341
Graphene,NONE,False,512,0,0.0,Mix0,0.2211497,0.2209556,0.2212689,0.2215341,0,0,0,0,0,0,0,797542.7136875001,2211497,2209556,2212689,2215341
Graphene,NONE,False,64,0,0.0,Mix0,0.201546,0.2008987,0.2006028,0.2015795,7337,0,0,0,0,0,0,766665.2599375001,2015460,2008987,2006028,2015795
Hydra,NONE,False,512,0,0.0,Mix0,0.2214753,0.2213298,0.2211069,0.2211575,0,0,0,0,0,0,0,797882.2424375,2214753,2213298,2211069,2211575
Hydra,NONE,False,64,0,0.0,Mix0,0.1599794,0.1599949,0.1602227,0.1601941,5802,0,0,0,0,0,0,714404.1121250001,1599794,1599949,1602227,1601941
BlockHammer,NONE,False,512,0,0.0,Mix0,0.2214012,0.2208202,0.2212224,0.2215041,0,0,0,0,0,0,0,797584.4896250002,2214012,2208202,2212224,2215041
BlockHammer,NONE,False,64,0,0.0,Mix0,0.018499,0.0112346,0.016913,0.0159644,0,0,0,0,0,0,0,463812.70993750007,184990,112346,169130,159644
Graphene,MEAN,False,512,32,0.65,Mix2,0.7321456,0.333527,0.5595288,0.5664085,0,0,0,0,0,0,0,696310.6383750001,7321456,3335270,5595288,5664085
Graphene,MEAN,False,64,32,0.65,Mix2,0.6845527,0.3063736,0.520174,0.5037072,2159,0,0,0,0,0,0,684144.2533750001,6845527,3063736,5201740,5037072
Hydra,MEAN,False,512,32,0.65,Mix2,0.7320572,0.3336036,0.559932,0.5676785,0,0,0,0,0,0,0,696014.6215,7320572,3336036,5599320,5676785
Hydra,MEAN,False,64,32,0.65,Mix2,0.5820819,0.2838711,0.4864617,0.4633409,2128,0,0,0,0,0,0,669639.4849375,5820819,2838711,4864617,4633409
Dummy,NONE,False,0,0,0.0,Mix2,0.7321456,0.333527,0.5595288,0.5664085,0,0,0,0,0,0,0,696310.6383750001,7321456,3335270,5595288,5664085
Graphene,NONE,False,512,0,0.0,Mix2,0.7321456,0.333527,0.5595288,0.5664085,0,0,0,0,0,0,0,696310.6383750001,7321456,3335270,5595288,5664085
Graphene,NONE,False,64,0,0.0,Mix2,0.6845527,0.3063736,0.520174,0.5037072,2159,0,0,0,0,0,0,684144.2533750001,6845527,3063736,5201740,5037072
Hydra,NONE,False,512,0,0.0,Mix2,0.7320572,0.3336036,0.559932,0.5676785,0,0,0,0,0,0,0,696014.6215,7320572,3336036,5599320,5676785
Hydra,NONE,False,64,0,0.0,Mix2,0.6327164,0.2769664,0.4827314,0.4230126,2066,0,0,0,0,0,0,669688.465875,6327164,2769664,4827314,4230126
BlockHammer,NONE,False,512,0,0.0,Mix2,0.6867064,0.3217271,0.5336447,0.5095678,0,0,0,0,0,0,0,687031.588375,6867064,3217271,5336447,5095678
BlockHammer,NONE,False,64,0,0.0,Mix2,0.006375,0.0005777,0.0007351,0.0079368,0,0,0,0,0,0,0,436399.63743750006,63750,5777,7351,79368
Graphene,MEAN,False,512,32,0.65,Mix9,0.2576651,0.9956216,0.2547358,0.996276,0,0,0,0,0,0,0,698380.3846250002,2576651,9956216,2547358,9962760
Graphene,MEAN,False,64,32,0.65,Mix9,0.2568733,0.99362,0.2560828,0.9922408,333,0,0,0,0,0,0,696900.9018125001,2568733,9936200,2560828,9922408
Hydra,MEAN,False,512,32,0.65,Mix9,0.2577558,0.9935944,0.2555961,0.9979192,0,0,0,0,0,0,0,698627.9671250001,2577558,9935944,2555961,9979192
Hydra,MEAN,False,64,32,0.65,Mix9,0.2337541,0.9805432,0.2332806,0.980684,687,0,0,0,0,0,0,676226.5771250001,2337541,9805432,2332806,9806840
Dummy,NONE,False,0,0,0.0,Mix9,0.2576651,0.9956216,0.2547358,0.996276,0,0,0,0,0,0,0,698380.3846250002,2576651,9956216,2547358,9962760
Graphene,NONE,False,512,0,0.0,Mix9,0.2576651,0.9956216,0.2547358,0.996276,0,0,0,0,0,0,0,698380.3846250002,2576651,9956216,2547358,9962760
Graphene,NONE,False,64,0,0.0,Mix9,0.2568733,0.99362,0.2560828,0.9922408,333,0,0,0,0,0,0,696900.9018125001,2568733,9936200,2560828,9922408
Hydra,NONE,False,512,0,0.0,Mix9,0.2577558,0.9935944,0.2555961,0.9979192,0,0,0,0,0,0,0,698627.9671250001,2577558,9935944,2555961,9979192
Hydra,NONE,False,64,0,0.0,Mix9,0.2337541,0.9805432,0.2332806,0.980684,687,0,0,0,0,0,0,676226.5771250001,2337541,9805432,2332806,9806840
BlockHammer,NONE,False,512,0,0.0,Mix9,0.258416,0.9934077,0.2552934,0.996828,0,0,0,0,0,0,0,697854.1205625001,2584160,9934077,2552934,9968280
BlockHammer,NONE,False,64,0,0.0,Mix9,0.0004259,0.0033799,0.0010126,0.0069234,0,0,0,0,0,0,0,434776.42243750003,4259,33799,10126,69234
