mitigation,thresh_type,cache_only,tRH,flat_thresh,dynamic_thresh,trace,core_id,pN_key,pN_val
Graphene,MEAN,False,512,32,0.65,Mix5,0,79,344
Graphene,MEAN,False,512,32,0.65,Mix5,0,80,354
Graphene,MEAN,False,512,32,0.65,Mix5,0,81,359
Graphene,MEAN,False,512,32,0.65,Mix5,0,82,369
Graphene,MEAN,False,512,32,0.65,Mix5,0,83,374
Graphene,MEAN,False,512,32,0.65,Mix5,0,84,384
Graphene,MEAN,False,512,32,0.65,Mix5,0,85,389
Graphene,MEAN,False,512,32,0.65,Mix5,0,86,399
Graphene,MEAN,False,512,32,0.65,Mix5,0,87,404
Graphene,MEAN,False,512,32,0.65,Mix5,0,88,414
Graphene,MEAN,False,512,32,0.65,Mix5,0,89,429
Graphene,MEAN,False,512,32,0.65,Mix5,0,90,439
Graphene,MEAN,False,512,32,0.65,Mix5,0,91,459
Graphene,MEAN,False,512,32,0.65,Mix5,0,92,474
Graphene,MEAN,False,512,32,0.65,Mix5,0,93,494
Graphene,MEAN,False,512,32,0.65,Mix5,0,94,519
Graphene,MEAN,False,512,32,0.65,Mix5,0,95,549
Graphene,MEAN,False,512,32,0.65,Mix5,0,96,594
Graphene,MEAN,False,512,32,0.65,Mix5,0,97,664
Graphene,MEAN,False,512,32,0.65,Mix5,0,98,1314
Graphene,MEAN,False,512,32,0.65,Mix5,0,99,1674
Graphene,MEAN,False,512,32,0.65,Mix5,0,100,3734
Graphene,MEAN,False,512,32,0.65,Mix5,1,0,9
Graphene,MEAN,False,512,32,0.65,Mix5,1,1,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,2,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,3,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,4,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,5,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,6,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,7,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,8,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,9,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,10,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,11,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,12,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,13,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,14,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,15,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,16,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,17,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,18,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,19,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,20,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,21,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,22,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,23,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,24,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,25,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,26,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,27,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,28,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,29,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,30,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,31,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,32,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,33,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,34,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,35,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,36,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,37,49
Graphene,MEAN,False,512,32,0.65,Mix5,1,38,134
Graphene,MEAN,False,512,32,0.65,Mix5,1,39,134
Graphene,MEAN,False,512,32,0.65,Mix5,1,40,134
Graphene,MEAN,False,512,32,0.65,Mix5,1,41,134
Graphene,MEAN,False,512,32,0.65,Mix5,1,42,139
Graphene,MEAN,False,512,32,0.65,Mix5,1,43,139
Graphene,MEAN,False,512,32,0.65,Mix5,1,44,144
Graphene,MEAN,False,512,32,0.65,Mix5,1,45,149
Graphene,MEAN,False,512,32,0.65,Mix5,1,46,154
Graphene,MEAN,False,512,32,0.65,Mix5,1,47,159
Graphene,MEAN,False,512,32,0.65,Mix5,1,48,159
Graphene,MEAN,False,512,32,0.65,Mix5,1,49,164
Graphene,MEAN,False,512,32,0.65,Mix5,1,50,174
Graphene,MEAN,False,512,32,0.65,Mix5,1,51,179
Graphene,MEAN,False,512,32,0.65,Mix5,1,52,184
Graphene,MEAN,False,512,32,0.65,Mix5,1,53,189
Graphene,MEAN,False,512,32,0.65,Mix5,1,54,199
Graphene,MEAN,False,512,32,0.65,Mix5,1,55,199
Graphene,MEAN,False,512,32,0.65,Mix5,1,56,204
Graphene,MEAN,False,512,32,0.65,Mix5,1,57,204
Graphene,MEAN,False,512,32,0.65,Mix5,1,58,209
Graphene,MEAN,False,512,32,0.65,Mix5,1,59,214
Graphene,MEAN,False,512,32,0.65,Mix5,1,60,219
Graphene,MEAN,False,512,32,0.65,Mix5,1,61,224
Graphene,MEAN,False,512,32,0.65,Mix5,1,62,229
Graphene,MEAN,False,512,32,0.65,Mix5,1,63,234
Graphene,MEAN,False,512,32,0.65,Mix5,1,64,244
Graphene,MEAN,False,512,32,0.65,Mix5,1,65,249
Graphene,MEAN,False,512,32,0.65,Mix5,1,66,259
Graphene,MEAN,False,512,32,0.65,Mix5,1,67,264
Graphene,MEAN,False,512,32,0.65,Mix5,1,68,264
Graphene,MEAN,False,512,32,0.65,Mix5,1,69,269
Graphene,MEAN,False,512,32,0.65,Mix5,1,70,274
Graphene,MEAN,False,512,32,0.65,Mix5,1,71,279
Graphene,MEAN,False,512,32,0.65,Mix5,1,72,279
Graphene,MEAN,False,512,32,0.65,Mix5,1,73,284
Graphene,MEAN,False,512,32,0.65,Mix5,1,74,289
Graphene,MEAN,False,512,32,0.65,Mix5,1,75,294
Graphene,MEAN,False,512,32,0.65,Mix5,1,76,299
Graphene,MEAN,False,512,32,0.65,Mix5,1,77,304
Graphene,MEAN,False,512,32,0.65,Mix5,1,78,309
Graphene,MEAN,False,512,32,0.65,Mix5,1,79,314
Graphene,MEAN,False,512,32,0.65,Mix5,1,80,319
Graphene,MEAN,False,512,32,0.65,Mix5,1,81,329
Graphene,MEAN,False,512,32,0.65,Mix5,1,82,334
Graphene,MEAN,False,512,32,0.65,Mix5,1,83,344
Graphene,MEAN,False,512,32,0.65,Mix5,1,84,354
Graphene,MEAN,False,512,32,0.65,Mix5,1,85,364
Graphene,MEAN,False,512,32,0.65,Mix5,1,86,374
Graphene,MEAN,False,512,32,0.65,Mix5,1,87,384
Graphene,MEAN,False,512,32,0.65,Mix5,1,88,399
Graphene,MEAN,False,512,32,0.65,Mix5,1,89,409
Graphene,MEAN,False,512,32,0.65,Mix5,1,90,424
