,mitigation,thresh_type,cache_only,tRH,flat_thresh,dynamic_thresh,trace,ipc_0,ipc_1,ipc_2,ipc_3,VRR,RFM,RRS_reswap,RRS_unswap,RRS_swap,AQUA_migrate,AQUA_r_migrate,total_energy,insn_0,insn_1,insn_2,insn_3,aipc_0,aipc_1,aipc_2,aipc_3,soa_0,aos_0,soa_1,aos_1,soa_2,aos_2,soa_3,aos_3,weighted_speedup,harmonic_speedup,max_slowdown,min_insn,weighted_speedup_base,harmonic_speedup_base,max_slowdown_base,total_energy_base,norm_weighted_speedup,norm_harmonic_speedup,norm_max_slowdown,norm_energy
46,Hydra,MEAN,False,512,32,0.65,Mix3,0.4396863,1.4425232,0.3661956,0.6393492,0,0,0,0,0,0,0,19020753.242939025,4396863,14425232,3661956,6393492,0.5419678,1.432896,0.5302639,0.9502711,0.81127753346232,1.232623804744428,1.006718701147885,0.9933261385328153,0.6905912320261666,1.4480346022726651,0.672807159977821,1.486309985216217,3.1813946266141926,0.7751495532186491,0.32719284002217897,3661956,3.198147145409044,0.7777708116825368,0.32793389170732434,19006926.716342054,0.9947618048722681,0.9966297803613674,0.9977402406281118,1.0007274467252554
47,Hydra,MEAN,False,64,32,0.65,Mix3,0.3671826,1.1542995,0.2939493,0.5337535,2506,0,0,0,0,0,0,22581043.172240928,3671826,11542995,2939493,5337535,0.5419678,1.432896,0.5302639,0.9502711,0.677498921522644,1.4760171097432175,0.8055710253919336,1.241355471435273,0.5543452986333787,1.803929793335109,0.5616855021688021,1.780355726004607,2.5991007477167587,0.6347535737730784,0.44565470136662133,2939493,3.198147145409044,0.7777708116825368,0.32793389170732434,19006926.716342054,0.8126895447721286,0.8161190472035432,1.3589772592469975,1.188042838762874
48,Dummy,NONE,False,0,0,0.0,Mix3,0.4413678,1.4627219,0.3663518,0.638645,0,0,0,0,0,0,0,19006926.716342054,4413678,14627219,3663518,6386450,0.5419678,1.432896,0.5302639,0.9502711,0.8143801163094929,1.227927818930153,1.0208151184733576,0.9796093160292465,0.6908858023335174,1.4474172093599649,0.6720661082926757,1.4879488604780433,3.198147145409044,0.7777708116825368,0.32793389170732434,3663518,3.198147145409044,0.7777708116825368,0.32793389170732434,19006926.716342054,1.0,1.0,1.0,1.0
49,Graphene,NONE,False,512,0,0.0,Mix3,0.4413678,1.4627219,0.3663518,0.638645,0,0,0,0,0,0,0,19006926.716342054,4413678,14627219,3663518,6386450,0.5419678,1.432896,0.5302639,0.9502711,0.8143801163094929,1.227927818930153,1.0208151184733576,0.9796093160292465,0.6908858023335174,1.4474172093599649,0.6720661082926757,1.4879488604780433,3.198147145409044,0.7777708116825368,0.32793389170732434,3663518,3.198147145409044,0.7777708116825368,0.32793389170732434,19006926.716342054,1.0,1.0,1.0,1.0
50,Graphene,NONE,False,64,0,0.0,Mix3,0.4143808,1.319611,0.325237,0.5931439,2580,0,0,0,0,0,0,20955412.368518956,4143808,13196110,3252370,5931439,0.5419678,1.432896,0.5302639,0.9502711,0.7645856451250425,1.307897952800902,0.9209398309437671,1.0858472686268907,0.6133493153126207,1.6303922985392192,0.6241838776323935,1.6020920049923806,2.9230586690138236,0.7109557088375044,0.3866506846873793,3252370,3.198147145409044,0.7777708116825368,0.32793389170732434,19006926.716342054,0.9139850470013203,0.9140940983623536,1.1790507003541395,1.1025145033311252
51,Hydra,NONE,False,512,0,0.0,Mix3,0.4396863,1.4425232,0.3661956,0.6393492,0,0,0,0,0,0,0,19020753.242939025,4396863,14425232,3661956,6393492,0.5419678,1.432896,0.5302639,0.9502711,0.81127753346232,1.232623804744428,1.006718701147885,0.9933261385328153,0.6905912320261666,1.4480346022726651,0.672807159977821,1.486309985216217,3.1813946266141926,0.7751495532186491,0.32719284002217897,3661956,3.198147145409044,0.7777708116825368,0.32793389170732434,19006926.716342054,0.9947618048722681,0.9966297803613674,0.9977402406281118,1.0007274467252554
52,Hydra,NONE,False,64,0,0.0,Mix3,0.3626274,1.1682333,0.2946829,0.5269873,2449,0,0,0,0,0,0,22510589.452679474,3626274,11682333,2946829,5269873,0.5419678,1.432896,0.5302639,0.9502711,0.6690939941450396,1.4945583262599573,0.8152952482245747,1.2265495256812144,0.5557287607170694,1.799438990182328,0.5545652182834983,1.8032144228143638,2.594683221370182,0.6325349475442767,0.44543478171650175,2946829,3.198147145409044,0.7777708116825368,0.32793389170732434,19006926.716342054,0.8113082680060117,0.8132665022179554,1.3583066373452033,1.1843360996033614
53,BlockHammer,NONE,False,512,0,0.0,Mix3,0.4413678,1.4627219,0.3663518,0.638645,0,0,0,0,0,0,0,19006926.716342054,4413678,14627219,3663518,6386450,0.5419678,1.432896,0.5302639,0.9502711,0.8143801163094929,1.227927818930153,1.0208151184733576,0.9796093160292465,0.6908858023335174,1.4474172093599649,0.6720661082926757,1.4879488604780433,3.198147145409044,0.7777708116825368,0.32793389170732434,3663518,3.198147145409044,0.7777708116825368,0.32793389170732434,19006926.716342054,1.0,1.0,1.0,1.0
54,BlockHammer,NONE,False,64,0,0.0,Mix3,0.0003242,0.0071538,0.0006219,0.0006364,0,0,0,0,0,0,0,13429964805.675508,3242,71538,6219,6364,0.5419678,1.432896,0.5302639,0.9502711,0.0005981905198057892,1671.7082048118443,0.004992546563044352,200.29858257150045,0.0011728122544265222,852.6513908988584,0.0006697036245761867,1493.1978315524827,0.0074332529618528495,0.0009483491116513424,0.9994018094801942,3242,3.198147145409044,0.7777708116825368,0.32793389170732434,19006926.716342054,0.0023242373236401336,0.001219316921394616,3.047570973152552,706.5826583173226
55,Graphene,MEAN,False,512,32,0.65,Mix6,0.3129408,0.2730671,1.0637262,0.2749236,0,0,0,0,0,0,0,25387992.12263213,3129408,2730671,10637262,2749236,0.5419678,0.4320961,1.432896,0.4320961,0.5774158538570004,1.7318540759146777,0.6319591868568126,1.5823806676088037,0.7423610645852875,1.3470534052841792,0.6362556847886385,1.5716951909548689,2.587991790087739,0.6417472632218517,0.42258414614299955,2730671,2.587991790087739,0.6417472632218517,0.42258414614299955,25387992.12263213,1.0,1.0,1.0,1.0
56,Graphene,MEAN,False,64,32,0.65,Mix6,0.299641,0.2547721,0.9941077,0.2527511,2656,0,0,0,0,0,0,26722027.81461683,2996410,2547721,9941077,2527511,0.5419678,0.4320961,1.432896,0.4320961,0.5528760195716425,1.8087237727814285,0.5896190685359114,1.6960102774204866,0.6937751937335299,1.4413890969761123,0.5849418682556959,1.7095715903907045,2.42121215009678,0.6009891014714965,0.44712398042835755,2527511,2.587991790087739,0.6417472632218517,0.42258414614299955,25387992.12263213,0.9355563488919318,0.9364887642126725,1.0580708824723726,1.0525459313812955
57,Hydra,MEAN,False,512,32,0.65,Mix6,0.3118802,0.2779649,1.0597278,0.2762971,0,0,0,0,0,0,0,25135482.38472283,3118802,2779649,10597278,2762971,0.5419678,0.4320961,1.432896,0.4320961,0.5754589110275555,1.7377435310096634,0.6432941653488657,1.554498787436831,0.7395706317834652,1.3521358975389717,0.6394343758251927,1.5638821399138825,2.597758083985079,0.6443028756355286,0.42454108897244447,2762971,2.587991790087739,0.6417472632218517,0.42258414614299955,25387992.12263213,1.003773695857439,1.0039822723993346,1.004630895047309,0.9900539697393319
58,Hydra,MEAN,False,64,32,0.65,Mix6,0.2688758,0.2325996,0.9804232,0.2336781,2472,0,0,0,0,0,0,28326732.112823922,2688758,2325996,9804232,2336781,0.5419678,0.4320961,1.432896,0.4320961,0.4961102855188076,2.015680845951923,0.5383052520029687,1.8576820424454727,0.6842249542185895,1.4615076428219975,0.5408012245424109,1.849108239069044,2.259441716282777,0.5567945184558779,0.5038897144811925,2325996,2.587991790087739,0.6417472632218517,0.42258414614299955,25387992.12263213,0.8730482549970441,0.8676227393016467,1.1924008959642316,1.1157531472357773
59,Dummy,NONE,False,0,0,0.0,Mix6,0.3129408,0.2730671,1.0637262,0.2749236,0,0,0,0,0,0,0,25387992.12263213,3129408,2730671,10637262,2749236,0.5419678,0.4320961,1.432896,0.4320961,0.5774158538570004,1.7318540759146777,0.6319591868568126,1.5823806676088037,0.7423610645852875,1.3470534052841792,0.6362556847886385,1.5716951909548689,2.587991790087739,0.6417472632218517,0.42258414614299955,2730671,2.587991790087739,0.6417472632218517,0.42258414614299955,25387992.12263213,1.0,1.0,1.0,1.0
60,Graphene,NONE,False,512,0,0.0,Mix6,0.3129408,0.2730671,1.0637262,0.2749236,0,0,0,0,0,0,0,25387992.12263213,3129408,2730671,10637262,2749236,0.5419678,0.4320961,1.432896,0.4320961,0.5774158538570004,1.7318540759146777,0.6319591868568126,1.5823806676088037,0.7423610645852875,1.3470534052841792,0.6362556847886385,1.5716951909548689,2.587991790087739,0.6417472632218517,0.42258414614299955,2730671,2.587991790087739,0.6417472632218517,0.42258414614299955,25387992.12263213,1.0,1.0,1.0,1.0
61,Graphene,NONE,False,64,0,0.0,Mix6,0.2958385,0.2536349,1.0047992,0.2520911,2639,0,0,0,0,0,0,26789316.27792493,2958385,2536349,10047992,2520911,0.5419678,0.4320961,1.432896,0.4320961,0.5458599200911937,1.8319718359848363,0.5869872465870439,1.7036145262343627,0.7012366563937648,1.426052090805805,0.583414430262157,1.7140474217455512,2.417498253334159,0.5991893679595104,0.45414007990880634,2520911,2.587991790087739,0.6417472632218517,0.42258414614299955,25387992.12263213,0.9341212992225916,0.933684336963617,1.074673728425033,1.0551963364618973
